X1=-22.97, Y1=31.31, Z1=25.78, A1=4.19, B1=-5.07, C1=0.26, M1=-96.00, N1=-225.00, O1=334.50 L2=26.639, I2=26.875,  Status = ON
X1=-56.23, Y1=-12.25, Z1=147.97, A1=2.34, B1=-0.81, C1=0.50, M1=-76.50, N1=-246.00, O1=333.00 L2=26.686, I2=26.750,  Status = ON
X1=-48.98, Y1=-63.39, Z1=57.22, A1=-1.47, B1=15.30, C1=5.44, M1=-64.50, N1=-262.50, O1=327.00 L2=26.705, I2=26.750,  Status = ON
X1=-123.68, Y1=-69.08, Z1=-161.39, A1=-17.08, B1=19.57, C1=7.22, M1=-84.00, N1=-283.50, O1=307.50 L2=26.741, I2=27.250,  Status = ON
X1=51.58, Y1=5.79, Z1=78.80, A1=-14.16, B1=19.57, C1=8.00, M1=-106.50, N1=-295.50, O1=285.00 L2=26.690, I2=26.625,  Status = ON
X1=262.58, Y1=37.33, Z1=3.39, A1=-10.73, B1=19.57, C1=14.66, M1=-103.50, N1=-268.50, O1=300.00 L2=26.686, I2=26.750,  Status = ON
X1=286.68, Y1=74.36, Z1=-67.65, A1=-0.44, B1=13.61, C1=19.55, M1=-88.50, N1=-183.00, O1=348.00 L2=26.612, I2=26.750,  Status = ON
X1=286.68, Y1=1.78, Z1=37.32, A1=6.79, B1=2.66, C1=15.75, M1=-79.50, N1=-66.00, O1=373.50 L2=26.592, I2=26.875,  Status = ON
X1=286.68, Y1=-12.91, Z1=30.04, A1=3.65, B1=-4.83, C1=15.61, M1=-82.50, N1=49.50, O1=363.00 L2=26.721, I2=26.500,  Status = ON
X1=286.68, Y1=-61.36, Z1=63.25, A1=7.09, B1=-16.90, C1=13.69, M1=-96.00, N1=142.50, O1=316.50 L2=26.635, I2=26.625,  Status = ON
X1=192.51, Y1=-156.30, Z1=66.16, A1=4.02, B1=-19.59, C1=9.68, M1=-132.00, N1=202.50, O1=255.00 L2=26.725, I2=26.625,  Status = ON
X1=32.79, Y1=-246.69, Z1=11.38, A1=-0.60, B1=-19.59, C1=13.93, M1=-180.00, N1=226.50, O1=204.00 L2=26.674, I2=26.750,  Status = ON
X1=-66.16, Y1=-286.68, Z1=-32.04, A1=0.03, B1=-19.59, C1=19.57, M1=-228.00, N1=232.50, O1=157.50 L2=26.616, I2=26.750,  Status = ON
X1=-202.53, Y1=-286.68, Z1=-95.84, A1=-5.98, B1=-19.59, C1=19.57, M1=-268.50, N1=225.00, O1=106.50 L2=26.670, I2=26.625,  Status = ON
X1=-251.88, Y1=-286.68, Z1=-248.25, A1=-9.85, B1=-13.89, C1=19.57, M1=-264.00, N1=240.00, O1=46.50 L2=26.643, I2=26.750,  Status = ON
X1=-111.63, Y1=-286.68, Z1=-286.68, A1=-15.14, B1=-3.83, C1=19.57, M1=-172.50, N1=294.00, O1=-10.50 L2=26.756, I2=26.750,  Status = ON
