
X1=57.94, Y1=64.35, Z1=33.37, A1=-0.12, B1=0.21, C1=-6.22, M1=388.50, N1=88.50, O1=133.50 L2=26.639, I2=27.250,  Status = ON
X1=62.38, Y1=54.86, Z1=27.62, A1=-1.14, B1=-0.36, C1=-5.21, M1=391.50, N1=108.00, O1=105.00 L2=26.713, I2=27.000,  Status = ON
X1=64.29, Y1=46.40, Z1=28.82, A1=-0.05, B1=-1.92, C1=-3.85, M1=388.50, N1=129.00, O1=76.50 L2=26.752, I2=26.625,  Status = ON
X1=50.97, Y1=22.00, Z1=64.47, A1=0.97, B1=-2.28, C1=-2.61, M1=378.00, N1=150.00, O1=60.00 L2=26.741, I2=26.750,  Status = ON
X1=34.26, Y1=-9.51, Z1=104.18, A1=2.76, B1=-2.48, C1=-0.96, M1=364.50, N1=175.50, O1=55.50 L2=26.780, I2=26.750,  Status = ON
X1=11.54, Y1=-68.19, Z1=107.10, A1=6.02, B1=-1.75, C1=0.57, M1=339.00, N1=204.00, O1=55.50 L2=26.709, I2=26.750,  Status = ON
X1=-5.29, Y1=-162.29, Z1=145.89, A1=2.90, B1=-1.72, C1=3.59, M1=309.00, N1=235.50, O1=69.00 L2=26.663, I2=26.875,  Status = ON
X1=-43.55, Y1=-272.53, Z1=74.96, A1=0.98, B1=-3.73, C1=12.54, M1=261.00, N1=264.00, O1=112.50 L2=26.756, I2=27.250,  Status = ON
X1=-99.79, Y1=-286.67, Z1=55.87, A1=-3.55, B1=-5.94, C1=14.53, M1=195.00, N1=252.00, O1=178.50 L2=26.733, I2=27.250,  Status = ON
X1=-193.73, Y1=-286.68, Z1=37.20, A1=-8.95, B1=-9.10, C1=18.07, M1=121.50, N1=222.00, O1=240.00 L2=26.635, I2=27.000,  Status = ON
X1=-265.40, Y1=-286.68, Z1=0.22, A1=-18.36, B1=-8.12, C1=19.57, M1=39.00, N1=178.50, O1=300.00 L2=26.709, I2=26.750,  Status = ON
X1=-286.68, Y1=-286.68, Z1=40.72, A1=-19.59, B1=-1.99, C1=19.57, M1=-58.50, N1=94.50, O1=343.50 L2=26.635, I2=26.750,  Status = ON
X1=-286.68, Y1=-285.42, Z1=-4.69, A1=-19.59, B1=5.90, C1=19.57, M1=-157.50, N1=-9.00, O1=355.50 L2=26.651, I2=27.000,  Status = ON
X1=-286.68, Y1=-197.71, Z1=-79.01, A1=-19.59, B1=10.70, C1=19.57, M1=-259.50, N1=-100.50, O1=328.50 L2=26.666, I2=26.625,  Status = ON
X1=-286.68, Y1=-131.58, Z1=37.28, A1=-18.39, B1=13.20, C1=19.57, M1=-315.00, N1=-168.00, O1=258.00 L2=26.717, I2=26.750,  Status = ON
X1=-260.53, Y1=-38.33, Z1=229.61, A1=-13.49, B1=-3.41, C1=19.57, M1=-312.00, N1=-232.50, O1=199.50 L2=26.795, I2=26.750,  Status = ON
X1=-286.68, Y1=3.89, Z1=91.76, A1=-16.24, B1=3.32, C1=19.57, M1=-306.00, N1=-312.00, O1=141.00 L2=26.784, I2=26.750,  Status = ON
X1=-286.68, Y1=-24.15, Z1=-51.35, A1=-4.55, B1=-0.29, C1=19.57, M1=-303.00, N1=-352.50, O1=43.50 L2=26.596, I2=27.000,  Status = ON
X1=-286.68, Y1=-64.31, Z1=56.23, A1=-8.69, B1=2.70, C1=19.57, M1=-292.50, N1=-360.00, O1=-76.50 L2=26.733, I2=27.000,  Status = ON
X1=-286.68, Y1=-83.70, Z1=53.13, A1=-6.79, B1=5.05, C1=19.57, M1=-262.50, N1=-327.00, O1=-217.50 L2=26.627, I2=26.875,  Status = ON
X1=-286.68, Y1=-61.94, Z1=33.78, A1=-13.40, B1=7.60, C1=19.57, M1=-229.50, N1=-235.50, O1=-336.00 L2=26.608, I2=26.750,  Status = ON
X1=-286.68, Y1=-70.46, Z1=79.78, A1=-10.87, B1=12.48, C1=19.57, M1=-210.00, N1=-124.50, O1=-396.00 L2=26.670, I2=26.750,  Status = ON
X1=-286.68, Y1=-19.35, Z1=31.51, A1=-11.98, B1=14.45, C1=16.70, M1=-204.00, N1=-25.50, O1=-414.00 L2=26.639, I2=26.875,  Status = ON
X1=-239.27, Y1=-23.15, Z1=-40.99, A1=-10.79, B1=13.26, C1=7.10, M1=-205.50, N1=55.50, O1=-409.50 L2=26.741, I2=27.250,  Status = ON
X1=-167.49, Y1=-21.04, Z1=-36.05, A1=-11.20, B1=13.31, C1=-0.01, M1=-196.50, N1=118.50, O1=-388.50 L2=26.799, I2=27.000,  Status = ON
X1=-62.76, Y1=-4.22, Z1=-102.87, A1=-10.59, B1=13.19, C1=0.11, M1=-180.00, N1=163.50, O1=-369.00 L2=26.600, I2=26.750,  Status = ON
X1=-10.89, Y1=-5.50, Z1=-34.51, A1=-9.21, B1=12.36, C1=-0.45, M1=-168.00, N1=189.00, O1=-360.00 L2=26.655, I2=26.750,  Status = ON
X1=48.97, Y1=-1.38, Z1=0.47, A1=-11.57, B1=3.34, C1=-2.39, M1=-165.00, N1=187.50, O1=-360.00 L2=26.623, I2=26.875,  Status = ON
X1=41.77, Y1=2.74, Z1=-69.22, A1=-11.49, B1=-2.75, C1=-1.40, M1=-160.50, N1=180.00, O1=-367.50 L2=26.596, I2=26.875,  Status = ON
X1=24.16, Y1=12.70, Z1=-194.99, A1=-14.70, B1=-8.39, C1=2.44, M1=-145.50, N1=186.00, O1=-372.00 L2=26.690, I2=27.000,  Status = ON
X1=-6.39, Y1=17.44, Z1=-286.68, A1=-6.17, B1=-5.62, C1=2.53, M1=-102.00, N1=208.50, O1=-369.00 L2=26.565, I2=26.625,  Status = ON
X1=19.99, Y1=-6.80, Z1=-191.31, A1=-8.50, B1=-13.85, C1=4.93, M1=-42.00, N1=231.00, O1=-367.50 L2=26.639, I2=26.625,  Status = ON
X1=9.21, Y1=-22.39, Z1=-207.52, A1=-2.93, B1=-10.49, C1=1.21, M1=18.00, N1=234.00, O1=-370.50 L2=26.733, I2=26.625,  Status = ON
X1=15.31, Y1=-7.56, Z1=-182.60, A1=-6.65, B1=-12.81, C1=-0.87, M1=69.00, N1=226.50, O1=-370.50 L2=26.686, I2=27.250,  Status = ON
X1=13.79, Y1=34.73, Z1=-177.86, A1=-3.62, B1=-12.24, C1=-1.74, M1=108.00, N1=220.50, O1=-375.00 L2=26.760, I2=26.875,  Status = ON
X1=-4.92, Y1=65.77, Z1=-194.14, A1=0.27, B1=-7.80, C1=-5.18, M1=138.00, N1=211.50, O1=-378.00 L2=26.745, I2=26.625,  Status = ON
X1=10.25, Y1=73.81, Z1=-98.69, A1=-1.26, B1=-10.44, C1=-2.68, M1=154.50, N1=196.50, O1=-382.50 L2=26.608, I2=26.875,  Status = ON
X1=-12.68, Y1=79.84, Z1=-51.80, A1=1.54, B1=-8.61, C1=-1.20, M1=154.50, N1=187.50, O1=-396.00 L2=26.631, I2=26.625,  Status = ON
X1=-23.21, Y1=77.46, Z1=-11.29, A1=-0.03, B1=-9.46, C1=-1.09, M1=139.50, N1=187.50, O1=-402.00 L2=26.799, I2=26.875,  Status = ON
X1=-30.35, Y1=68.12, Z1=-8.40, A1=3.23, B1=-6.80, C1=-0.99, M1=121.50, N1=202.50, O1=-402.00 L2=26.745, I2=26.750,  Status = ON
X1=-36.72, Y1=57.67, Z1=81.90, A1=0.40, B1=-8.45, C1=-0.96, M1=99.00, N1=219.00, O1=-400.50 L2=26.713, I2=26.875,  Status = ON
X1=-39.58, Y1=53.87, Z1=64.25, A1=0.83, B1=-8.51, C1=-2.23, M1=70.50, N1=232.50, O1=-396.00 L2=26.592, I2=26.750,  Status = ON
X1=9.57, Y1=-22.91, Z1=158.34, A1=-1.41, B1=-9.56, C1=0.02, M1=37.50, N1=226.50, O1=-385.50 L2=26.752, I2=26.875,  Status = ON
X1=-29.81, Y1=88.02, Z1=86.04, A1=-0.15, B1=-7.25, C1=-1.36, M1=-1.50, N1=232.50, O1=-375.00 L2=26.678, I2=26.625,  Status = ON
X1=1.98, Y1=78.88, Z1=124.56, A1=0.86, B1=-7.56, C1=-4.92, M1=-52.50, N1=246.00, O1=-373.50 L2=26.627, I2=26.625,  Status = ON
X1=32.75, Y1=56.99, Z1=87.95, A1=-1.98, B1=-8.32, C1=-3.88, M1=-97.50, N1=235.50, O1=-366.00 L2=26.705, I2=27.250,  Status = ON
X1=5.66, Y1=66.77, Z1=45.06, A1=-2.12, B1=-9.75, C1=-4.34, M1=-132.00, N1=223.50, O1=-360.00 L2=26.663, I2=26.625,  Status = ON
X1=-0.43, Y1=107.76, Z1=-20.01, A1=-2.28, B1=-8.54, C1=-3.37, M1=-165.00, N1=222.00, O1=-352.50 L2=26.690, I2=26.875,  Status = ON
X1=-9.38, Y1=104.10, Z1=-19.00, A1=-1.22, B1=-7.65, C1=-4.61, M1=-190.50, N1=229.50, O1=-336.00 L2=26.643, I2=26.750,  Status = ON
X1=-37.56, Y1=99.49, Z1=29.14, A1=-1.71, B1=-7.49, C1=-3.54, M1=-211.50, N1=228.00, O1=-315.00 L2=26.655, I2=26.750,  Status = ON
X1=-12.35, Y1=95.53, Z1=13.82, A1=-1.54, B1=-6.61, C1=-5.68, M1=-238.50, N1=225.00, O1=-292.50 L2=26.752, I2=26.750,  Status = ON
X1=-5.38, Y1=106.71, Z1=3.26, A1=-0.86, B1=-6.76, C1=-4.81, M1=-259.50, N1=226.50, O1=-259.50 L2=26.748, I2=26.875,  Status = ON
X1=9.61, Y1=84.88, Z1=25.74, A1=-1.36, B1=-6.66, C1=-4.95, M1=-279.00, N1=222.00, O1=-231.00 L2=26.788, I2=27.250,  Status = ON
X1=21.37, Y1=79.01, Z1=27.72, A1=-1.35, B1=-7.17, C1=-4.89, M1=-300.00, N1=211.50, O1=-213.00 L2=26.604, I2=26.875,  Status = ON
X1=26.64, Y1=72.16, Z1=26.10, A1=-1.00, B1=-7.70, C1=-4.60, M1=-318.00, N1=201.00, O1=-202.50 L2=26.627, I2=27.000,  Status = ON
X1=32.84, Y1=54.41, Z1=42.12, A1=0.00, B1=-8.63, C1=-4.40, M1=-334.50, N1=201.00, O1=-190.50 L2=26.643, I2=27.000,  Status = ON
X1=50.44, Y1=-82.92, Z1=70.68, A1=-1.50, B1=-8.79, C1=-2.92, M1=-348.00, N1=177.00, O1=-190.50 L2=26.612, I2=26.750,  Status = ON
X1=82.83, Y1=74.25, Z1=60.63, A1=-2.93, B1=-8.82, C1=-1.44, M1=-360.00, N1=120.00, O1=-207.00 L2=26.772, I2=26.625,  Status = ON
X1=35.43, Y1=53.10, Z1=36.58, A1=-2.26, B1=-10.81, C1=-2.91, M1=-376.50, N1=84.00, O1=-204.00 L2=26.670, I2=26.875,  Status = ON
X1=30.00, Y1=54.71, Z1=57.38, A1=-2.73, B1=-10.30, C1=-3.76, M1=-385.50, N1=64.50, O1=-184.50 L2=26.705, I2=26.625,  Status = ON
X1=37.19, Y1=48.67, Z1=32.78, A1=-3.05, B1=-10.39, C1=-3.93, M1=-397.50, N1=43.50, O1=-169.50 L2=26.776, I2=26.750,  Status = ON
