
X1=32.35, Y1=130.03, Z1=-0.75, A1=-3.64, B1=0.28, C1=-4.09, M1=88.50, N1=-54.00, O1=393.00 L2=26.623, I2=26.750,  Status = ON
X1=30.98, Y1=100.44, Z1=-45.89, A1=-2.47, B1=0.01, C1=-5.72, M1=127.50, N1=-43.50, O1=385.50 L2=26.748, I2=27.000,  Status = ON
X1=22.50, Y1=81.34, Z1=-38.31, A1=-3.10, B1=-0.06, C1=-7.07, M1=160.50, N1=-39.00, O1=375.00 L2=26.639, I2=27.250,  Status = ON
X1=14.81, Y1=56.52, Z1=-33.01, A1=-4.83, B1=0.87, C1=-6.67, M1=183.00, N1=-43.50, O1=367.50 L2=26.663, I2=27.250,  Status = ON
X1=10.91, Y1=50.14, Z1=-27.31, A1=-6.18, B1=2.28, C1=-5.59, M1=202.50, N1=-43.50, O1=360.00 L2=26.733, I2=26.750,  Status = ON
X1=15.07, Y1=49.74, Z1=-33.50, A1=-6.40, B1=2.63, C1=-5.85, M1=219.00, N1=-48.00, O1=352.50 L2=26.737, I2=26.625,  Status = ON
X1=17.64, Y1=53.88, Z1=-33.46, A1=-5.66, B1=1.87, C1=-6.57, M1=231.00, N1=-40.50, O1=340.50 L2=26.604, I2=26.625,  Status = ON
X1=19.74, Y1=52.33, Z1=-30.07, A1=-3.62, B1=1.07, C1=-7.07, M1=246.00, N1=-36.00, O1=333.00 L2=26.643, I2=27.000,  Status = ON
X1=17.53, Y1=46.83, Z1=-23.35, A1=-3.10, B1=0.63, C1=-6.53, M1=258.00, N1=-45.00, O1=325.50 L2=26.737, I2=27.000,  Status = ON
X1=12.98, Y1=33.88, Z1=-9.60, A1=-1.98, B1=0.55, C1=-7.14, M1=271.50, N1=-46.50, O1=313.50 L2=26.686, I2=26.875,  Status = ON
X1=9.03, Y1=22.46, Z1=-8.07, A1=-2.14, B1=0.13, C1=-7.52, M1=280.50, N1=-49.50, O1=307.50 L2=26.647, I2=27.125,  Status = ON
X1=2.66, Y1=11.57, Z1=-8.81, A1=-2.64, B1=0.40, C1=-7.81, M1=286.50, N1=-49.50, O1=307.50 L2=26.725, I2=26.875,  Status = ON
X1=-2.56, Y1=4.69, Z1=4.49, A1=-4.23, B1=0.05, C1=-9.17, M1=291.00, N1=-46.50, O1=309.00 L2=26.666, I2=26.875,  Status = ON
X1=-0.94, Y1=3.74, Z1=-5.70, A1=-3.25, B1=-0.00, C1=-8.69, M1=292.50, N1=-45.00, O1=307.50 L2=26.655, I2=26.875,  Status = ON
X1=-7.28, Y1=0.52, Z1=-5.29, A1=-4.25, B1=0.21, C1=-8.85, M1=292.50, N1=-49.50, O1=304.50 L2=26.678, I2=27.250,  Status = ON
X1=-10.76, Y1=-1.58, Z1=3.74, A1=-4.58, B1=0.49, C1=-8.48, M1=286.50, N1=-54.00, O1=303.00 L2=26.592, I2=26.625,  Status = ON
X1=-12.82, Y1=-0.48, Z1=2.03, A1=-4.24, B1=1.16, C1=-8.62, M1=288.00, N1=-57.00, O1=312.00 L2=26.631, I2=26.875,  Status = ON
X1=-10.07, Y1=1.29, Z1=-7.03, A1=-4.84, B1=1.77, C1=-8.67, M1=288.00, N1=-58.50, O1=310.50 L2=26.612, I2=26.625,  Status = ON
X1=-9.26, Y1=1.15, Z1=3.52, A1=-5.22, B1=2.02, C1=-9.08, M1=288.00, N1=-57.00, O1=309.00 L2=26.682, I2=27.000,  Status = ON
X1=-1.15, Y1=8.05, Z1=-10.38, A1=-4.03, B1=1.99, C1=-8.93, M1=286.50, N1=-60.00, O1=306.00 L2=26.620, I2=26.625,  Status = ON
X1=-2.83, Y1=10.46, Z1=-5.65, A1=-5.31, B1=1.79, C1=-9.22, M1=292.50, N1=-64.50, O1=304.50 L2=26.651, I2=27.250,  Status = ON
X1=2.51, Y1=16.82, Z1=-9.59, A1=-3.62, B1=1.72, C1=-9.31, M1=291.00, N1=-69.00, O1=300.00 L2=26.639, I2=26.750,  Status = ON
X1=3.27, Y1=19.96, Z1=-10.18, A1=-4.26, B1=1.24, C1=-9.24, M1=292.50, N1=-70.50, O1=297.00 L2=26.713, I2=26.875,  Status = ON
X1=1.44, Y1=22.70, Z1=-10.55, A1=-4.37, B1=1.10, C1=-9.28, M1=304.50, N1=-70.50, O1=294.00 L2=26.616, I2=26.750,  Status = ON
X1=3.84, Y1=26.73, Z1=-11.54, A1=-3.55, B1=1.12, C1=-9.05, M1=315.00, N1=-69.00, O1=286.50 L2=26.643, I2=27.250,  Status = ON
X1=0.36, Y1=29.18, Z1=-13.28, A1=-3.61, B1=1.30, C1=-9.07, M1=321.00, N1=-72.00, O1=279.00 L2=26.674, I2=26.875,  Status = ON
X1=0.09, Y1=31.28, Z1=-15.62, A1=-2.84, B1=1.07, C1=-9.09, M1=330.00, N1=-78.00, O1=279.00 L2=26.791, I2=27.250,  Status = ON
X1=1.05, Y1=33.71, Z1=-9.42, A1=-2.03, B1=1.59, C1=-8.43, M1=330.00, N1=-82.50, O1=271.50 L2=26.729, I2=26.750,  Status = ON
X1=5.85, Y1=30.91, Z1=-6.88, A1=-1.24, B1=1.84, C1=-8.78, M1=330.00, N1=-82.50, O1=258.00 L2=26.682, I2=27.000,  Status = ON
X1=8.82, Y1=22.07, Z1=1.58, A1=-1.08, B1=1.73, C1=-9.06, M1=343.50, N1=-81.00, O1=247.50 L2=26.651, I2=26.750,  Status = ON
X1=14.41, Y1=12.88, Z1=-7.68, A1=-1.22, B1=1.45, C1=-9.06, M1=352.50, N1=-82.50, O1=247.50 L2=26.760, I2=26.625,  Status = ON
X1=17.32, Y1=6.18, Z1=-0.39, A1=-2.78, B1=0.79, C1=-9.26, M1=348.00, N1=-75.00, O1=250.50 L2=26.745, I2=26.625,  Status = ON
X1=19.99, Y1=3.71, Z1=-3.64, A1=-2.29, B1=0.64, C1=-9.25, M1=348.00, N1=-67.50, O1=250.50 L2=26.686, I2=27.000,  Status = ON
X1=21.45, Y1=1.53, Z1=-0.24, A1=-3.23, B1=0.36, C1=-9.24, M1=355.50, N1=-64.50, O1=252.00 L2=26.663, I2=26.750,  Status = ON
X1=17.77, Y1=1.53, Z1=19.59, A1=-4.02, B1=0.54, C1=-9.41, M1=354.00, N1=-60.00, O1=247.50 L2=26.729, I2=26.625,  Status = ON
X1=19.28, Y1=4.50, Z1=35.11, A1=-3.94, B1=1.17, C1=-8.60, M1=351.00, N1=-51.00, O1=241.50 L2=26.713, I2=26.750,  Status = ON
X1=19.22, Y1=8.49, Z1=46.79, A1=-5.20, B1=1.55, C1=-7.43, M1=352.50, N1=-36.00, O1=244.50 L2=26.705, I2=27.000,  Status = ON
X1=24.22, Y1=13.21, Z1=55.15, A1=-4.59, B1=1.96, C1=-6.82, M1=352.50, N1=-18.00, O1=241.50 L2=26.745, I2=27.000,  Status = ON
X1=36.85, Y1=12.04, Z1=58.72, A1=-4.22, B1=1.52, C1=-7.02, M1=354.00, N1=6.00, O1=235.50 L2=26.772, I2=26.750,  Status = ON
X1=38.60, Y1=0.10, Z1=76.21, A1=-0.62, B1=1.94, C1=-8.39, M1=351.00, N1=33.00, O1=231.00 L2=26.659, I2=26.625,  Status = ON
X1=59.42, Y1=-20.03, Z1=95.26, A1=1.13, B1=0.90, C1=-9.19, M1=340.50, N1=66.00, O1=226.50 L2=26.670, I2=26.875,  Status = ON
X1=65.64, Y1=-62.80, Z1=46.53, A1=1.10, B1=0.04, C1=-7.48, M1=330.00, N1=94.50, O1=228.00 L2=26.623, I2=26.750,  Status = ON
X1=65.88, Y1=-75.99, Z1=9.04, A1=-1.94, B1=-1.87, C1=-8.33, M1=306.00, N1=118.50, O1=229.50 L2=26.663, I2=26.750,  Status = ON
X1=58.42, Y1=-78.26, Z1=2.57, A1=-4.66, B1=-3.50, C1=-7.25, M1=283.50, N1=124.50, O1=232.50 L2=26.748, I2=27.000,  Status = ON
X1=44.44, Y1=-68.71, Z1=-16.63, A1=-3.60, B1=-3.92, C1=-2.85, M1=270.00, N1=135.00, O1=241.50 L2=26.768, I2=26.625,  Status = ON
X1=29.53, Y1=-109.42, Z1=15.93, A1=0.54, B1=-4.67, C1=-0.48, M1=256.50, N1=153.00, O1=253.50 L2=26.643, I2=27.000,  Status = ON
X1=-12.85, Y1=-148.65, Z1=-12.43, A1=-0.02, B1=-4.37, C1=-0.09, M1=226.50, N1=153.00, O1=274.50 L2=26.678, I2=27.125,  Status = ON
X1=-53.20, Y1=-218.19, Z1=32.31, A1=0.76, B1=-5.18, C1=6.35, M1=183.00, N1=150.00, O1=306.00 L2=26.639, I2=26.875,  Status = ON
X1=-159.31, Y1=-286.68, Z1=-45.53, A1=-1.59, B1=-7.02, C1=12.86, M1=105.00, N1=138.00, O1=342.00 L2=26.620, I2=26.750,  Status = ON
X1=-242.84, Y1=-286.68, Z1=-4.59, A1=-8.42, B1=-8.66, C1=19.57, M1=-9.00, N1=70.50, O1=372.00 L2=26.663, I2=27.250,  Status = ON
X1=-286.68, Y1=-286.68, Z1=14.92, A1=-16.41, B1=-5.32, C1=19.57, M1=-141.00, N1=-46.50, O1=363.00 L2=26.760, I2=26.750,  Status = ON
X1=-286.68, Y1=-286.68, Z1=141.51, A1=-19.59, B1=7.52, C1=19.57, M1=-270.00, N1=-169.50, O1=261.00 L2=26.682, I2=26.875,  Status = ON
X1=-286.68, Y1=-286.68, Z1=187.03, A1=-18.70, B1=19.57, C1=19.57, M1=-327.00, N1=-276.00, O1=66.00 L2=26.631, I2=27.000,  Status = ON
X1=-286.68, Y1=-211.75, Z1=179.78, A1=-11.05, B1=19.57, C1=19.57, M1=-288.00, N1=-310.50, O1=-154.50 L2=26.608, I2=26.875,  Status = ON
X1=-286.68, Y1=-65.54, Z1=227.92, A1=-19.59, B1=19.57, C1=19.57, M1=-208.50, N1=-250.50, O1=-328.50 L2=26.655, I2=27.000,  Status = ON
X1=-286.68, Y1=-0.55, Z1=116.72, A1=-16.75, B1=13.42, C1=19.57, M1=-174.00, N1=-115.50, O1=-417.00 L2=26.608, I2=26.750,  Status = ON
X1=-286.68, Y1=76.58, Z1=-142.43, A1=-19.59, B1=8.01, C1=19.57, M1=-186.00, N1=58.50, O1=-409.50 L2=26.756, I2=26.875,  Status = ON
X1=-286.68, Y1=-7.02, Z1=-230.10, A1=-7.65, B1=2.27, C1=19.57, M1=-171.00, N1=223.50, O1=-322.50 L2=26.795, I2=26.625,  Status = ON
