
X1=58.30, Y1=80.64, Z1=-91.45, A1=-13.21, B1=9.78, C1=10.96, M1=243.00, N1=-414.00, O1=-315.00 L2=26.686, I2=26.750,  Status = ON
X1=34.63, Y1=127.29, Z1=-95.02, A1=-11.69, B1=6.71, C1=9.97, M1=171.00, N1=-432.00, O1=-318.00 L2=26.873, I2=26.750,  Status = ON
X1=36.16, Y1=127.08, Z1=-99.22, A1=-7.53, B1=4.71, C1=8.09, M1=96.00, N1=-438.00, O1=-315.00 L2=26.713, I2=26.875,  Status = ON
X1=26.15, Y1=120.19, Z1=-78.40, A1=-7.11, B1=2.92, C1=6.72, M1=30.00, N1=-439.50, O1=-292.50 L2=26.842, I2=26.875,  Status = ON
X1=20.41, Y1=113.31, Z1=-67.03, A1=-7.24, B1=3.71, C1=5.50, M1=-25.50, N1=-429.00, O1=-265.50 L2=26.780, I2=27.000,  Status = ON
X1=21.50, Y1=110.26, Z1=-57.56, A1=-8.73, B1=3.71, C1=5.02, M1=-63.00, N1=-417.00, O1=-237.00 L2=26.807, I2=26.625,  Status = ON
X1=24.19, Y1=116.51, Z1=-58.32, A1=-8.28, B1=3.13, C1=4.27, M1=-84.00, N1=-402.00, O1=-210.00 L2=26.737, I2=26.625,  Status = ON
X1=31.39, Y1=121.54, Z1=-67.63, A1=-7.33, B1=2.02, C1=3.57, M1=-103.50, N1=-397.50, O1=-186.00 L2=26.834, I2=27.250,  Status = ON
X1=31.33, Y1=114.11, Z1=-41.22, A1=-7.34, B1=0.44, C1=2.23, M1=-121.50, N1=-397.50, O1=-162.00 L2=26.815, I2=26.625,  Status = ON
X1=26.69, Y1=108.82, Z1=-44.60, A1=-4.15, B1=0.03, C1=0.68, M1=-133.50, N1=-394.50, O1=-136.50 L2=26.905, I2=27.250,  Status = ON
X1=20.42, Y1=96.81, Z1=-31.11, A1=-3.24, B1=-0.62, C1=0.10, M1=-148.50, N1=-399.00, O1=-118.50 L2=26.655, I2=26.875,  Status = ON
X1=18.49, Y1=81.54, Z1=-12.58, A1=-4.10, B1=-0.97, C1=-1.47, M1=-156.00, N1=-405.00, O1=-102.00 L2=26.811, I2=27.250,  Status = ON
X1=13.72, Y1=59.21, Z1=-37.84, A1=-4.49, B1=-0.55, C1=-2.09, M1=-163.50, N1=-408.00, O1=-87.00 L2=26.788, I2=26.625,  Status = ON
X1=4.74, Y1=40.41, Z1=-12.06, A1=-8.41, B1=-0.45, C1=-3.22, M1=-174.00, N1=-403.50, O1=-79.50 L2=26.733, I2=27.250,  Status = ON
X1=8.69, Y1=38.37, Z1=-31.40, A1=-9.52, B1=0.44, C1=-2.61, M1=-180.00, N1=-402.00, O1=-72.00 L2=26.756, I2=26.750,  Status = ON
X1=6.34, Y1=38.74, Z1=-16.03, A1=-11.00, B1=1.05, C1=-2.76, M1=-184.50, N1=-402.00, O1=-66.00 L2=26.760, I2=26.625,  Status = ON
X1=11.88, Y1=42.34, Z1=-11.02, A1=-9.93, B1=1.33, C1=-3.16, M1=-189.00, N1=-403.50, O1=-63.00 L2=26.756, I2=27.000,  Status = ON
X1=17.21, Y1=44.83, Z1=-9.41, A1=-9.66, B1=1.39, C1=-3.41, M1=-189.00, N1=-403.50, O1=-54.00 L2=26.799, I2=26.875,  Status = ON
X1=24.75, Y1=46.38, Z1=-1.27, A1=-9.81, B1=0.88, C1=-3.70, M1=-184.50, N1=-405.00, O1=-39.00 L2=26.838, I2=26.875,  Status = ON
X1=29.65, Y1=50.57, Z1=-3.08, A1=-9.49, B1=0.61, C1=-4.07, M1=-189.00, N1=-403.50, O1=-22.50 L2=26.694, I2=26.750,  Status = ON
X1=32.44, Y1=63.70, Z1=13.93, A1=-12.00, B1=-0.52, C1=-4.16, M1=-192.00, N1=-417.00, O1=-6.00 L2=26.709, I2=26.750,  Status = ON
X1=32.61, Y1=80.95, Z1=20.39, A1=-11.86, B1=-0.50, C1=-4.26, M1=-183.00, N1=-420.00, O1=12.00 L2=26.760, I2=26.750,  Status = ON
X1=37.90, Y1=104.06, Z1=0.08, A1=-10.38, B1=-0.95, C1=-3.95, M1=-171.00, N1=-408.00, O1=33.00 L2=26.799, I2=26.625,  Status = ON
X1=38.95, Y1=115.46, Z1=7.87, A1=-9.43, B1=-2.03, C1=-3.39, M1=-162.00, N1=-405.00, O1=54.00 L2=26.760, I2=27.000,  Status = ON
X1=30.74, Y1=110.53, Z1=1.34, A1=-5.66, B1=-1.93, C1=-4.56, M1=-144.00, N1=-409.50, O1=73.50 L2=26.694, I2=26.750,  Status = ON
X1=23.70, Y1=91.53, Z1=-1.92, A1=-3.43, B1=-1.50, C1=-5.37, M1=-133.50, N1=-397.50, O1=96.00 L2=26.678, I2=27.000,  Status = ON
X1=27.57, Y1=49.54, Z1=-38.47, A1=-0.62, B1=-2.79, C1=-5.89, M1=-133.50, N1=-394.50, O1=112.50 L2=26.803, I2=26.750,  Status = ON
X1=22.38, Y1=18.89, Z1=-14.01, A1=1.22, B1=-2.59, C1=-8.39, M1=-132.00, N1=-408.00, O1=118.50 L2=26.850, I2=27.000,  Status = ON
X1=14.72, Y1=-67.84, Z1=-92.50, A1=0.03, B1=-3.36, C1=-5.11, M1=-147.00, N1=-399.00, O1=118.50 L2=26.866, I2=27.000,  Status = ON
X1=5.26, Y1=-154.08, Z1=-95.72, A1=-1.87, B1=-4.90, C1=-1.54, M1=-178.50, N1=-379.50, O1=108.00 L2=26.698, I2=27.000,  Status = ON
X1=-14.67, Y1=-227.72, Z1=-167.21, A1=-2.96, B1=-6.41, C1=0.94, M1=-225.00, N1=-357.00, O1=79.50 L2=26.733, I2=26.875,  Status = ON
X1=-25.68, Y1=-286.68, Z1=-181.41, A1=-0.19, B1=-7.86, C1=14.23, M1=-279.00, N1=-324.00, O1=21.00 L2=26.694, I2=26.875,  Status = ON
X1=-92.00, Y1=-286.68, Z1=-220.06, A1=-4.38, B1=-13.55, C1=19.57, M1=-307.50, N1=-265.50, O1=-91.50 L2=26.850, I2=27.000,  Status = ON
X1=-167.64, Y1=-286.68, Z1=-131.78, A1=-10.57, B1=-17.50, C1=19.57, M1=-270.00, N1=-202.50, O1=-252.00 L2=26.823, I2=26.750,  Status = ON
X1=-286.68, Y1=-286.68, Z1=60.96, A1=-19.49, B1=-10.34, C1=19.57, M1=-124.50, N1=-117.00, O1=-396.00 L2=26.780, I2=27.250,  Status = ON
X1=-286.68, Y1=-286.68, Z1=169.85, A1=-19.59, B1=5.44, C1=19.57, M1=70.50, N1=15.00, O1=-430.50 L2=26.705, I2=26.875,  Status = ON
X1=-286.68, Y1=-286.68, Z1=80.15, A1=-19.59, B1=13.11, C1=19.57, M1=201.00, N1=157.50, O1=-325.50 L2=26.791, I2=26.750,  Status = ON
X1=-286.68, Y1=-250.88, Z1=79.00, A1=-19.59, B1=11.73, C1=19.57, M1=240.00, N1=250.50, O1=-147.00 L2=26.737, I2=26.750,  Status = ON
X1=-286.68, Y1=-222.00, Z1=-20.73, A1=-13.36, B1=11.33, C1=19.57, M1=231.00, N1=261.00, O1=28.50 L2=26.866, I2=26.875,  Status = ON
X1=-286.68, Y1=-156.50, Z1=-59.23, A1=-16.10, B1=8.95, C1=17.51, M1=220.50, N1=205.50, O1=166.50 L2=26.670, I2=27.000,  Status = ON
X1=-286.68, Y1=-156.60, Z1=125.53, A1=-14.87, B1=10.10, C1=19.42, M1=192.00, N1=138.00, O1=262.50 L2=26.784, I2=26.625,  Status = ON
X1=-281.94, Y1=-100.79, Z1=18.83, A1=-18.67, B1=10.10, C1=-1.06, M1=150.00, N1=66.00, O1=325.50 L2=26.705, I2=27.000,  Status = ON
