
X1=-13.68, Y1=66.13, Z1=14.27, A1=-0.99, B1=0.36, C1=-7.15, M1=268.50, N1=-153.00, O1=304.50 L2=27.026, I2=27.250,  Status = ON
X1=-8.18, Y1=32.38, Z1=-6.76, A1=-0.09, B1=0.40, C1=-6.25, M1=285.00, N1=-156.00, O1=289.50 L2=26.877, I2=27.250,  Status = ON
X1=-4.31, Y1=13.07, Z1=-2.89, A1=-0.27, B1=-0.08, C1=-5.90, M1=294.00, N1=-157.50, O1=285.00 L2=26.881, I2=27.000,  Status = ON
X1=-10.44, Y1=-15.47, Z1=29.07, A1=-3.94, B1=-0.84, C1=-8.08, M1=289.50, N1=-154.50, O1=283.50 L2=26.920, I2=26.750,  Status = ON
X1=2.57, Y1=-10.22, Z1=-1.58, A1=-7.42, B1=-0.27, C1=-8.09, M1=288.00, N1=-150.00, O1=289.50 L2=26.905, I2=26.875,  Status = ON
X1=-3.21, Y1=6.07, Z1=-10.22, A1=-9.06, B1=0.67, C1=-9.63, M1=292.50, N1=-150.00, O1=291.00 L2=26.991, I2=27.250,  Status = ON
X1=26.07, Y1=38.44, Z1=-4.45, A1=-7.20, B1=-0.90, C1=-8.01, M1=295.50, N1=-153.00, O1=285.00 L2=26.971, I2=27.250,  Status = ON
X1=20.53, Y1=46.44, Z1=-15.97, A1=-3.20, B1=-3.09, C1=-8.77, M1=300.00, N1=-148.50, O1=280.50 L2=26.854, I2=27.000,  Status = ON
X1=15.88, Y1=31.71, Z1=-29.78, A1=-5.97, B1=-4.60, C1=-12.10, M1=313.50, N1=-139.50, O1=270.00 L2=26.870, I2=27.250,  Status = ON
X1=16.81, Y1=31.89, Z1=-60.43, A1=-9.37, B1=-2.64, C1=-12.69, M1=322.50, N1=-147.00, O1=259.50 L2=26.932, I2=27.250,  Status = ON
X1=24.71, Y1=57.60, Z1=-127.34, A1=-12.12, B1=-0.92, C1=-10.78, M1=316.50, N1=-172.50, O1=250.50 L2=26.846, I2=26.625,  Status = ON
X1=40.65, Y1=64.46, Z1=-169.60, A1=-5.96, B1=0.11, C1=-6.67, M1=313.50, N1=-204.00, O1=249.00 L2=27.018, I2=27.250,  Status = ON
X1=59.04, Y1=27.26, Z1=-214.25, A1=3.65, B1=-0.92, C1=-3.10, M1=301.50, N1=-244.50, O1=235.50 L2=27.014, I2=27.250,  Status = ON
X1=132.81, Y1=-135.93, Z1=-286.68, A1=3.67, B1=-1.58, C1=7.01, M1=259.50, N1=-277.50, O1=255.00 L2=26.995, I2=27.250,  Status = ON
X1=144.48, Y1=-286.68, Z1=-286.68, A1=4.74, B1=-6.17, C1=11.24, M1=138.00, N1=-294.00, O1=310.50 L2=26.846, I2=26.750,  Status = ON
X1=92.93, Y1=-286.68, Z1=-286.68, A1=1.95, B1=-14.74, C1=19.57, M1=-66.00, N1=-270.00, O1=328.50 L2=26.940, I2=27.250,  Status = ON
X1=53.95, Y1=-286.68, Z1=-272.89, A1=-2.47, B1=-19.59, C1=19.57, M1=-271.50, N1=-198.00, O1=249.00 L2=26.870, I2=26.875,  Status = ON
X1=-49.81, Y1=-286.68, Z1=-99.15, A1=-7.12, B1=-19.59, C1=19.57, M1=-384.00, N1=-133.50, O1=66.00 L2=26.854, I2=27.375,  Status = ON
X1=-192.04, Y1=-286.68, Z1=161.55, A1=-14.86, B1=-6.96, C1=19.57, M1=-373.50, N1=-127.50, O1=-166.50 L2=26.959, I2=27.250,  Status = ON
X1=-286.68, Y1=-286.68, Z1=127.17, A1=-19.59, B1=12.98, C1=19.57, M1=-262.50, N1=-114.00, O1=-348.00 L2=26.909, I2=27.250,  Status = ON
X1=-286.68, Y1=-286.68, Z1=100.02, A1=-19.59, B1=18.93, C1=19.57, M1=-136.50, N1=-33.00, O1=-435.00 L2=26.877, I2=26.750,  Status = ON
X1=-232.60, Y1=-74.83, Z1=145.41, A1=-19.59, B1=14.00, C1=19.51, M1=-55.50, N1=60.00, O1=-448.50 L2=27.006, I2=26.875,  Status = ON
X1=-194.39, Y1=28.95, Z1=63.84, A1=-19.55, B1=7.87, C1=4.87, M1=-37.50, N1=135.00, O1=-424.50 L2=27.022, I2=26.750,  Status = ON
X1=-144.79, Y1=12.86, Z1=69.69, A1=-12.43, B1=0.58, C1=-3.21, M1=-55.50, N1=192.00, O1=-387.00 L2=26.850, I2=26.750,  Status = ON
X1=-110.34, Y1=-17.53, Z1=100.22, A1=-0.91, B1=-5.05, C1=-4.68, M1=-69.00, N1=220.50, O1=-363.00 L2=26.881, I2=27.250,  Status = ON
X1=-142.82, Y1=-8.44, Z1=107.92, A1=-6.20, B1=-1.69, C1=-1.23, M1=-76.50, N1=238.50, O1=-343.50 L2=26.948, I2=27.000,  Status = ON
X1=-183.90, Y1=-2.63, Z1=-105.10, A1=-14.04, B1=2.89, C1=4.96, M1=-54.00, N1=264.00, O1=-303.00 L2=26.913, I2=27.250,  Status = ON
X1=-85.31, Y1=0.10, Z1=52.85, A1=-13.22, B1=6.70, C1=0.76, M1=-18.00, N1=271.50, O1=-262.50 L2=26.834, I2=27.250,  Status = ON
X1=-71.44, Y1=12.16, Z1=33.54, A1=-16.10, B1=5.83, C1=-2.35, M1=-18.00, N1=256.50, O1=-234.00 L2=26.901, I2=27.250,  Status = ON
X1=-42.04, Y1=27.42, Z1=-3.20, A1=-10.85, B1=3.79, C1=-2.95, M1=-40.50, N1=244.50, O1=-211.50 L2=26.955, I2=27.000,  Status = ON
X1=-12.98, Y1=31.94, Z1=-11.14, A1=-10.33, B1=0.50, C1=-3.41, M1=-66.00, N1=247.50, O1=-195.00 L2=26.901, I2=27.000,  Status = ON
X1=-16.76, Y1=28.13, Z1=-31.69, A1=-10.04, B1=-1.14, C1=-2.61, M1=-82.50, N1=258.00, O1=-183.00 L2=26.897, I2=27.250,  Status = ON
X1=-33.41, Y1=27.85, Z1=-35.44, A1=-9.74, B1=-2.28, C1=-3.46, M1=-88.50, N1=267.00, O1=-171.00 L2=26.811, I2=26.875,  Status = ON
X1=-51.46, Y1=27.31, Z1=-45.39, A1=-9.36, B1=-1.84, C1=-2.86, M1=-91.50, N1=279.00, O1=-154.50 L2=27.038, I2=27.000,  Status = ON
X1=-64.62, Y1=29.49, Z1=-88.32, A1=-7.64, B1=-0.76, C1=-2.19, M1=-90.00, N1=292.50, O1=-136.50 L2=26.940, I2=27.250,  Status = ON
X1=-82.04, Y1=16.15, Z1=-76.41, A1=-7.80, B1=-1.39, C1=-3.33, M1=-79.50, N1=294.00, O1=-114.00 L2=26.971, I2=27.250,  Status = ON
X1=-83.86, Y1=2.35, Z1=-54.39, A1=-8.81, B1=-1.14, C1=-2.70, M1=-66.00, N1=306.00, O1=-85.50 L2=26.916, I2=27.250,  Status = ON
X1=-81.13, Y1=-10.27, Z1=-76.29, A1=-6.80, B1=-1.03, C1=-2.57, M1=-54.00, N1=324.00, O1=-54.00 L2=26.866, I2=27.000,  Status = ON
X1=-77.76, Y1=-21.88, Z1=-99.98, A1=-8.39, B1=-1.44, C1=-1.58, M1=-36.00, N1=328.50, O1=-25.50 L2=26.995, I2=27.250,  Status = ON
X1=-79.42, Y1=-29.36, Z1=-59.14, A1=-11.14, B1=-4.09, C1=-0.21, M1=-13.50, N1=331.50, O1=-6.00 L2=26.889, I2=27.000,  Status = ON
X1=-76.16, Y1=-26.88, Z1=-62.97, A1=-9.42, B1=-4.79, C1=0.17, M1=10.50, N1=327.00, O1=22.50 L2=27.010, I2=27.250,  Status = ON
